loc_a,loc_b,title,title_link,creator_name,creator_link,type,date_added,notes
,,Every Noise At Once,https://everynoise.com/,Glen McDonald,https://twitter.com/glenn_mcdonald,Music,01/05/22,Quite possibly my favorite website
,,Zarki,https://zarki.net,Tim Zarki,https://www.zarki.net/info,Art,01/05/22,
Paris,France,Kitsuné,https://maisonkitsune.com/mk/kitsune-musique/,"Gildas Loaëc, Masaya Kuroki","https://www.instagram.com/gildaskitsune/, https://www.instagram.com/masayakitsune/",Music,09/01/22,
,,Ins-rt,https://ins-rt.net/,,,Music,09/01/22,
Zurich,Switzerland,Nieves,https://nieves.ch/,Benjamin Sommerhalder,http://www.shift.jp.org/guide/zurich/insider/benjamin-sommerhalder.html,Writing,09/01/22,
,,"French Tax Authorities Used Google AI to Snuff Out More than 20,000 Undeclared Swimming  Pools",https://gizmodo.com/ai-taxes-france-swimming-pools-1849470533,Mack DeGeurin,https://gizmodo.com/author/mackdegeurin,Article,09/01/22,
,,Spotting Objects From Space Is Easy. This Challenge Is Harder,https://www.wired.com/story/spotting-objects-from-space-is-easy-this-challenge-is-harder/,Sarah Scoles,https://www.wired.com/author/sarah-scoles/,Article,09/01/22,
,,Your Doppelgänger Is Out There and You Probably Share DNA With Them,https://www.nytimes.com/2022/08/23/science/doppelgangers-twins-dna.html,Kate Golembiewski,,Article,09/01/22,
San Francisco,United States,Guido van Rossum,https://gvanrossum.github.io//,Guido van Rossum,https://gvanrossum.github.io//,Biography,09/01/22,
"New York, Hawaii",United States,Hoku Magazine,https://www.hokumagazine.com/,Kiana Kanoa,https://www.kianakanoa.com/,Misc,09/01/22,
Kyiv,Ukraine,CXEMA,https://www.c-x-e-m-a.com/,DJ Slava Lepsheev,https://ra.co/dj/slavalepsheev,Music,09/01/22,
,,Massif Management,http://www.massifmanagement.com/,Jonathan Feldman,http://www.massifmanagement.com/about,Misc,09/01/22,
,,Paradisaea Magazine,https://paradisaea-magazine.com/,,,Photography,09/01/22,
,Spain,Caliper,https://calip-er.com/,"Quinner Baird, Carlos Sanjuan, Lucas Criado, Alec Alborg, Aitor Goenaga",,Misc,09/01/22,
Malaga,Spain,Todobarro,https://todobarro.com/en/,,,Misc,09/01/22,
,,The Social Nightmare: Facebook Whistleblower Exposes How Company Harms Users,https://read.deeplearning.ai/the-batch/the-social-nightmare/,,,Article,09/01/22,
,,Abstract Mag,http://abstractmag.net/,,,Art,09/01/22,
,,Neal.fun,https://neal.fun/,Neal Agarwal,https://twitter.com/nealagarwal,Misc,01/05/22,
Tokyo,Japan,Sabukaru,https://sabukaru.online/,Adrian Bianco,,Misc,09/01/22,
,United Kingdom,Electronic Sound,https://electronicsound.co.uk/,,,Music,09/01/22,
New York,United States,"Printed Matter, Inc. ",https://www.printedmatter.org/,Lucy Lippard,https://www.printedmatter.org/programs/critical-essays/14-interview-with-lucy-r-lippard-on-printed-matter,Art,09/01/22,
London,United Kingdom,Worldwide FM,https://worldwidefm.net/,DJ Gilles Peterson,https://www.gillespetersonworldwide.com/,Music,09/01/22,
Rotterdam,Netherlands,Rotganzen,https://www.rotganzen.com/,"Erik Schilp, Robin Stam and Joeri Horstink",,Design,09/01/22,
,,Red Tour,https://www.theredtour.com/,Guifurt,https://www.guifurt.com/,Photography,09/01/22,
,,Hi Fructose Magazine,https://hifructose.com/,Annie Owens,,Art,09/01/22,
,,Equator Institute,https://www.equator.institute/,,,Misc,09/01/22,
Birsfelden,Switzerland,Vitra,https://www.vitra.com/,,,Design,09/01/22,
New York,United States,Gagosian,https://gagosian.com/,,,Art,09/01/22,
Berlin,Germany,Toytonics,https://www.toytonics.de/about/,,,Music,09/01/22,
New York,United States,Edward Clement Lee,http://edwardclementlee.com/,Edward Clement Lee,https://twitter.com/edwrdlee,Misc,09/01/22,
London,United Kingdom,Fact Magazine,https://www.factmag.com/2022/01/19/howe-a-yellow-flower/,,,Music,09/01/22,
Berlin,Germany,Inverted Audio,https://inverted-audio.com/,Tom Durston,https://twitter.com/tomdurston,Music,09/01/22,
New York,United States,Ojas,https://ojas.nyc/,Devon Ojas,https://ojas.nyc/,Misc,11/11/22,
Chicago,United States,"Benjamin Edgar, An Object Company",https://www.benjaminedgar.com/,Benjamin Edgar,https://www.benjaminedgar.com/,Design,11/11/22,
San Francisco,United States,Koalas To The Max,https://www.koalastothemax.com/,Vadim Ogievetsky,https://github.com/vogievetsky,Misc,11/11/22,
