loc_list,title,title_link,type,date_added,notes
"Vancouver, Canada; Shanghai, China; Hong Kong",Greg Girard,https://www.greggirardpictures.com/,Photographer,09/01/22,placeholder for notes
"Santa Barbra, California",Morgan Maassen,http://www.morganmaassen.com/,Photographer,09/01/22,placeholder for notes
Australia,Cameron Hammond,https://cameronhammond.com/,Photographer,09/01/22,placeholder for notes
"Des Moines, Iowa",Alexandre M Schiffer,https://www.instagram.com/rat_tunnel/,Painter,09/01/22,placeholder for notes
,Sam Love,https://www.instagram.com/sloves_cardboardferraris/,Painter,09/01/22,placeholder for notes
France,Fabrice Destagnol,http://fabricedestagnol.com/,Painter,09/01/22,placeholder for notes
,Jay Gullion,https://www.instagram.com/jaygullion/,Photographer,09/01/22,placeholder for notes
"Jacksonville, Florida",Malcom Jackson,https://www.malcjax.com/,Photographer,09/01/22,placeholder for notes
Denmark,Jakob Gjerluff Ager,https://www.gjerluff.com/,Photographer,09/01/22,placeholder for notes
Denmark; Canada,Sofie Agger,https://www.instagram.com/sofieagger_/,Photographer,09/01/22,placeholder for notes
"Berlin, Germany",Hans Berger,https://www.hansberger.co/,Illustrator,09/01/22,placeholder for notes
Hong Kong,Chak Kit,https://www.instagram.com/_chakmkit/,Photographer,09/01/22,placeholder for notes
,Steven Meiers Dominguez,https://toastycakes.com/,Photographer,09/01/22,placeholder for notes
"New York, New York",Yisi T,https://www.instagram.com/yisi.t/,Photographer,09/01/22,placeholder for notes
,Tom Hawkins,https://tbhphoto.com/,Photographer,09/01/22,placeholder for notes
"New York, New York",Garry Winogrand,https://www.moma.org/artists/6399,Photographer,09/01/22,placeholder for notes
"New York, New York",Arthurious,https://arthurious.com/,Photographer,09/01/22,placeholder for notes
,Karlee Mackie,https://www.instagram.com/artist_mlak/,Painter,09/01/22,placeholder for notes
,Danny Behar,https://www.instagram.com/djbehar/?hl=en,Digital Artist,09/01/22,placeholder for notes
"Royal Tunbridge Wells, England",Harrison Mark,https://harrisonmark.com/,Photographer,09/01/22,placeholder for notes
"New York, New York",Michael DeTemple,https://www.mikeydetemple.com/,Photographer,09/01/22,placeholder for notes
"Taiwan, Taiwan",Chien-Chi Chang,https://www.magnumphotos.com/photographer/chien-chi-chang/,Photographer,09/01/22,placeholder for notes
"San Luis Obispo, California",James Barkman,https://www.jamesbarkman.com/,Photographer,09/01/22,placeholder for notes
"Ventura, California",Dylan Lucas Gordon,https://www.dylangordon.com/,Photographer,09/01/22,placeholder for notes
,Jamie Browne ,http://www.jamiebrowneart.com/,Illustrator,09/01/22,placeholder for notes
"Amsterdam, Netherlands",B.D. Graft,https://bdgraft.com/,Painter,09/01/22,placeholder for notes
"Paris, France; Cape Town, South Africa",Paloma Saint Léger,https://www.instagram.com/palomasaintleger/,Photographer,09/01/22,placeholder for notes
"Santa Barbara, California",Jeff Johnson,http://www.jeffjohnsonstories.com/,Photographer,09/01/22,placeholder for notes
France,Eser Gündüz,https://esergunduz.art/,Painter,09/01/22,placeholder for notes
,Colin VanWyke,https://csvwart.work/,Painter,09/01/22,placeholder for notes
,Jason Lee Perry,https://jasonleeparry.com/,Photographer,09/01/22,placeholder for notes
,Mitchell Johnson,https://www.mitchelljohnson.com/,Painter,09/01/22,placeholder for notes
"London, England",Natalie Savage,https://www.instagram.com/nataliesavageart/,Painter,09/01/22,placeholder for notes
